c0,c1,c2,level,bpp,mse
88, 128, 64, 7, 1.8650, 6.2792, kodak/kodim06.png
88, 128, 64, 7, 1.4017, 4.5518, kodak/kodim16.png
88, 128, 64, 7, 1.1064, 4.8644, kodak/kodim07.png
88, 128, 96, 0, 0.0924, 59.6417, kodak/kodim03.png
88, 128, 96, 0, 0.3045, 198.5658, kodak/kodim08.png
88, 128, 96, 0, 0.1715, 124.2073, kodak/kodim21.png
88, 128, 96, 0, 0.1965, 173.2633, kodak/kodim18.png
88, 128, 96, 0, 0.1146, 76.0480, kodak/kodim15.png
88, 128, 96, 0, 0.1070, 64.7567, kodak/kodim09.png
88, 128, 96, 0, 0.1196, 83.2136, kodak/kodim17.png
88, 128, 96, 0, 0.1136, 68.0836, kodak/kodim20.png
88, 128, 96, 0, 0.0967, 63.7097, kodak/kodim12.png
88, 128, 96, 0, 0.1327, 118.0588, kodak/kodim22.png
88, 128, 96, 0, 0.1303, 97.9349, kodak/kodim19.png
88, 128, 96, 0, 0.1060, 76.4375, kodak/kodim02.png
88, 128, 96, 0, 0.1080, 74.3941, kodak/kodim10.png
88, 128, 96, 0, 0.2847, 184.0119, kodak/kodim05.png
88, 128, 96, 0, 0.0995, 49.5162, kodak/kodim23.png
88, 128, 96, 0, 0.1479, 115.9961, kodak/kodim11.png
88, 128, 96, 0, 0.2053, 171.7625, kodak/kodim24.png
88, 128, 96, 0, 0.2184, 183.0182, kodak/kodim01.png
88, 128, 96, 0, 0.1108, 83.5655, kodak/kodim04.png
88, 128, 96, 0, 0.1890, 155.2188, kodak/kodim14.png
88, 128, 96, 0, 0.3117, 283.0729, kodak/kodim13.png
88, 128, 96, 0, 0.1712, 138.0622, kodak/kodim06.png
88, 128, 96, 0, 0.0992, 90.5277, kodak/kodim16.png
88, 128, 96, 0, 0.1382, 78.7404, kodak/kodim07.png
88, 128, 96, 1, 0.1318, 40.9909, kodak/kodim03.png
88, 128, 96, 1, 0.4314, 131.4624, kodak/kodim08.png
88, 128, 96, 1, 0.2543, 83.5599, kodak/kodim21.png
88, 128, 96, 1, 0.3074, 117.4967, kodak/kodim18.png
88, 128, 96, 1, 0.1611, 57.2289, kodak/kodim15.png
88, 128, 96, 1, 0.1481, 43.4721, kodak/kodim09.png
88, 128, 96, 1, 0.1706, 56.7839, kodak/kodim17.png
88, 128, 96, 1, 0.1569, 49.3424, kodak/kodim20.png
88, 128, 96, 1, 0.1336, 46.5910, kodak/kodim12.png
88, 128, 96, 1, 0.2049, 86.7303, kodak/kodim22.png
88, 128, 96, 1, 0.1877, 71.6191, kodak/kodim19.png
88, 128, 96, 1, 0.1479, 58.5088, kodak/kodim02.png
88, 128, 96, 1, 0.1537, 49.6609, kodak/kodim10.png
88, 128, 96, 1, 0.4145, 118.9566, kodak/kodim05.png
88, 128, 96, 1, 0.1301, 35.0463, kodak/kodim23.png
88, 128, 96, 1, 0.2214, 82.4766, kodak/kodim11.png
88, 128, 96, 1, 0.3101, 117.0752, kodak/kodim24.png
88, 128, 96, 1, 0.3501, 126.1672, kodak/kodim01.png
88, 128, 96, 1, 0.1602, 61.0376, kodak/kodim04.png
88, 128, 96, 1, 0.2875, 107.7321, kodak/kodim14.png
88, 128, 96, 1, 0.4936, 194.9363, kodak/kodim13.png
88, 128, 96, 1, 0.2608, 94.5178, kodak/kodim06.png
88, 128, 96, 1, 0.1547, 64.0285, kodak/kodim16.png
88, 128, 96, 1, 0.1929, 51.2726, kodak/kodim07.png
88, 128, 96, 2, 0.1883, 35.2367, kodak/kodim03.png
88, 128, 96, 2, 0.6124, 94.3211, kodak/kodim08.png
88, 128, 96, 2, 0.3755, 62.6920, kodak/kodim21.png
88, 128, 96, 2, 0.4675, 83.0097, kodak/kodim18.png
88, 128, 96, 2, 0.2344, 48.3423, kodak/kodim15.png
88, 128, 96, 2, 0.2052, 38.2413, kodak/kodim09.png
88, 128, 96, 2, 0.2452, 45.5405, kodak/kodim17.png
88, 128, 96, 2, 0.2288, 44.7870, kodak/kodim20.png
88, 128, 96, 2, 0.1925, 42.9245, kodak/kodim12.png
88, 128, 96, 2, 0.3242, 67.8018, kodak/kodim22.png
88, 128, 96, 2, 0.2861, 58.3226, kodak/kodim19.png
88, 128, 96, 2, 0.2205, 50.7629, kodak/kodim02.png
88, 128, 96, 2, 0.2168, 42.2952, kodak/kodim10.png
88, 128, 96, 2, 0.5943, 82.3927, kodak/kodim05.png
88, 128, 96, 2, 0.1745, 32.9279, kodak/kodim23.png
88, 128, 96, 2, 0.3360, 63.9278, kodak/kodim11.png
88, 128, 96, 2, 0.4660, 83.4821, kodak/kodim24.png
88, 128, 96, 2, 0.5511, 89.3118, kodak/kodim01.png
88, 128, 96, 2, 0.2351, 51.3188, kodak/kodim04.png
88, 128, 96, 2, 0.4375, 79.6332, kodak/kodim14.png
88, 128, 96, 2, 0.7713, 131.4156, kodak/kodim13.png
88, 128, 96, 2, 0.3985, 70.1757, kodak/kodim06.png
88, 128, 96, 2, 0.2421, 51.4725, kodak/kodim16.png
88, 128, 96, 2, 0.2697, 40.9282, kodak/kodim07.png
88, 128, 96, 3, 0.2687, 18.2905, kodak/kodim03.png
88, 128, 96, 3, 0.8623, 55.0219, kodak/kodim08.png
88, 128, 96, 3, 0.5398, 34.8153, kodak/kodim21.png
88, 128, 96, 3, 0.6834, 48.1662, kodak/kodim18.png
88, 128, 96, 3, 0.3435, 27.5893, kodak/kodim15.png
88, 128, 96, 3, 0.2861, 20.3924, kodak/kodim09.png
88, 128, 96, 3, 0.3531, 25.4702, kodak/kodim17.png
88, 128, 96, 3, 0.3339, 24.2430, kodak/kodim20.png
88, 128, 96, 3, 0.2842, 23.7700, kodak/kodim12.png
88, 128, 96, 3, 0.4986, 39.5313, kodak/kodim22.png
88, 128, 96, 3, 0.4384, 33.0334, kodak/kodim19.png
88, 128, 96, 3, 0.3390, 30.4877, kodak/kodim02.png
88, 128, 96, 3, 0.3069, 22.8224, kodak/kodim10.png
88, 128, 96, 3, 0.8315, 46.3928, kodak/kodim05.png
88, 128, 96, 3, 0.2351, 17.6580, kodak/kodim23.png
88, 128, 96, 3, 0.5059, 36.4181, kodak/kodim11.png
88, 128, 96, 3, 0.6774, 46.4263, kodak/kodim24.png
88, 128, 96, 3, 0.8207, 50.1624, kodak/kodim01.png
88, 128, 96, 3, 0.3535, 29.3951, kodak/kodim04.png
88, 128, 96, 3, 0.6544, 45.8790, kodak/kodim14.png
88, 128, 96, 3, 1.1362, 73.1306, kodak/kodim13.png
88, 128, 96, 3, 0.5898, 38.7791, kodak/kodim06.png
88, 128, 96, 3, 0.3743, 28.0286, kodak/kodim16.png
88, 128, 96, 3, 0.3714, 21.0646, kodak/kodim07.png
88, 128, 96, 4, 0.3716, 11.4672, kodak/kodim03.png
88, 128, 96, 4, 1.1788, 33.7246, kodak/kodim08.png
88, 128, 96, 4, 0.7411, 21.6614, kodak/kodim21.png
88, 128, 96, 4, 0.9495, 30.1710, kodak/kodim18.png
88, 128, 96, 4, 0.4941, 17.5759, kodak/kodim15.png
