active, fn, bpp, mse, np
176.00, kodak/kodim13.png, 1.8339, 42.7282, 393216
176.00, kodak/kodim06.png, 1.2385, 14.0123, 393216
176.00, kodak/kodim16.png, 0.9459, 8.3547, 393216
176.00, kodak/kodim07.png, 0.7684, 7.4240, 393216
160.00, kodak/kodim03.png, 0.6521, 6.2276, 393216
160.00, kodak/kodim08.png, 1.5415, 28.7440, 393216
160.00, kodak/kodim21.png, 0.9824, 16.8094, 393216
160.00, kodak/kodim18.png, 1.2824, 26.0674, 393216
160.00, kodak/kodim15.png, 0.8010, 11.9244, 393216
160.00, kodak/kodim09.png, 0.6469, 8.2166, 393216
160.00, kodak/kodim17.png, 0.8181, 10.1113, 393216
160.00, kodak/kodim20.png, 0.7079, 10.1141, 393216
160.00, kodak/kodim12.png, 0.7830, 7.4059, 393216
160.00, kodak/kodim22.png, 1.0902, 17.0000, 393216
160.00, kodak/kodim19.png, 0.9733, 13.1571, 393216
160.00, kodak/kodim02.png, 0.9250, 10.7044, 393216
160.00, kodak/kodim10.png, 0.7589, 8.5307, 393216
160.00, kodak/kodim05.png, 1.4952, 19.8858, 393216
160.00, kodak/kodim23.png, 0.5547, 7.6400, 393216
160.00, kodak/kodim11.png, 1.1111, 14.7687, 393216
160.00, kodak/kodim24.png, 1.2681, 24.9178, 393216
160.00, kodak/kodim01.png, 1.5013, 21.9393, 393216
160.00, kodak/kodim04.png, 0.8742, 10.2986, 393216
160.00, kodak/kodim14.png, 1.3381, 16.8780, 393216
160.00, kodak/kodim13.png, 1.7587, 50.7896, 393216
160.00, kodak/kodim06.png, 1.2075, 15.6294, 393216
160.00, kodak/kodim16.png, 0.9316, 8.7547, 393216
160.00, kodak/kodim07.png, 0.7604, 7.4795, 393216
144.00, kodak/kodim03.png, 0.6404, 6.6417, 393216
144.00, kodak/kodim08.png, 1.4777, 33.0506, 393216
144.00, kodak/kodim21.png, 0.9454, 19.5592, 393216
144.00, kodak/kodim18.png, 1.2411, 29.5709, 393216
144.00, kodak/kodim15.png, 0.7834, 12.8705, 393216
144.00, kodak/kodim09.png, 0.6363, 8.6139, 393216
144.00, kodak/kodim17.png, 0.8053, 10.9193, 393216
144.00, kodak/kodim20.png, 0.6886, 11.1289, 393216
144.00, kodak/kodim12.png, 0.7727, 7.6377, 393216
144.00, kodak/kodim22.png, 1.0580, 18.6070, 393216
144.00, kodak/kodim19.png, 0.9415, 14.4748, 393216
144.00, kodak/kodim02.png, 0.9096, 11.1969, 393216
144.00, kodak/kodim10.png, 0.7496, 8.8055, 393216
144.00, kodak/kodim05.png, 1.4470, 22.5096, 393216
144.00, kodak/kodim23.png, 0.5489, 7.7996, 393216
144.00, kodak/kodim11.png, 1.0805, 16.6079, 393216
144.00, kodak/kodim24.png, 1.2257, 29.2076, 393216
144.00, kodak/kodim01.png, 1.4359, 26.0932, 393216
144.00, kodak/kodim04.png, 0.8582, 10.8945, 393216
144.00, kodak/kodim14.png, 1.2994, 18.7812, 393216
144.00, kodak/kodim13.png, 1.6645, 62.3122, 393216
144.00, kodak/kodim06.png, 1.1632, 18.5043, 393216
144.00, kodak/kodim16.png, 0.9072, 9.8828, 393216
144.00, kodak/kodim07.png, 0.7479, 7.8358, 393216
128.00, kodak/kodim03.png, 0.6232, 7.4607, 393216
128.00, kodak/kodim08.png, 1.3965, 39.3898, 393216
128.00, kodak/kodim21.png, 0.8988, 23.4088, 393216
128.00, kodak/kodim18.png, 1.1835, 34.7783, 393216
128.00, kodak/kodim15.png, 0.7564, 14.4761, 393216
128.00, kodak/kodim09.png, 0.6202, 9.3719, 393216
128.00, kodak/kodim17.png, 0.7857, 12.3793, 393216
128.00, kodak/kodim20.png, 0.6610, 12.7454, 393216
128.00, kodak/kodim12.png, 0.7532, 8.3294, 393216
128.00, kodak/kodim22.png, 1.0125, 21.2451, 393216
128.00, kodak/kodim19.png, 0.8979, 16.6166, 393216
