level,fn,bpp,mse,np
5.00, kodak/kodim20.png, 0.0907, 120.8016, 393216
5.00, kodak/kodim12.png, 0.0772, 121.1370, 393216
5.00, kodak/kodim22.png, 0.1007, 212.7528, 393216
5.00, kodak/kodim19.png, 0.1023, 165.9672, 393216
5.00, kodak/kodim02.png, 0.0803, 150.9351, 393216
5.00, kodak/kodim10.png, 0.0875, 160.3640, 393216
5.00, kodak/kodim05.png, 0.2155, 287.2560, 393216
5.00, kodak/kodim23.png, 0.0806, 101.1949, 393216
5.00, kodak/kodim11.png, 0.1134, 202.3109, 393216
5.00, kodak/kodim24.png, 0.1600, 279.9599, 393216
5.00, kodak/kodim01.png, 0.1614, 286.1481, 393216
5.00, kodak/kodim04.png, 0.0861, 165.9700, 393216
5.00, kodak/kodim14.png, 0.1427, 270.3960, 393216
5.00, kodak/kodim13.png, 0.2390, 396.9730, 393216
5.00, kodak/kodim06.png, 0.1339, 226.1698, 393216
5.00, kodak/kodim16.png, 0.0771, 175.9390, 393216
5.00, kodak/kodim07.png, 0.1068, 155.5761, 393216
6.00, kodak/kodim03.png, 0.0783, 117.1136, 393216
6.00, kodak/kodim08.png, 0.2503, 258.3714, 393216
6.00, kodak/kodim21.png, 0.1404, 186.6268, 393216
6.00, kodak/kodim18.png, 0.1596, 277.0750, 393216
6.00, kodak/kodim15.png, 0.0938, 131.8683, 393216
6.00, kodak/kodim09.png, 0.0919, 122.5407, 393216
6.00, kodak/kodim17.png, 0.1005, 167.7148, 393216
6.00, kodak/kodim20.png, 0.0949, 112.9215, 393216
6.00, kodak/kodim12.png, 0.0809, 113.6413, 393216
6.00, kodak/kodim22.png, 0.1062, 206.7380, 393216
6.00, kodak/kodim19.png, 0.1075, 161.2831, 393216
6.00, kodak/kodim02.png, 0.0837, 150.6367, 393216
6.00, kodak/kodim10.png, 0.0930, 150.5265, 393216
6.00, kodak/kodim05.png, 0.2280, 270.3941, 393216
6.00, kodak/kodim23.png, 0.0834, 98.2378, 393216
6.00, kodak/kodim11.png, 0.1200, 195.1161, 393216
6.00, kodak/kodim24.png, 0.1701, 267.3372, 393216
6.00, kodak/kodim01.png, 0.1720, 272.9809, 393216
6.00, kodak/kodim04.png, 0.0901, 161.5818, 393216
6.00, kodak/kodim14.png, 0.1518, 259.4338, 393216
6.00, kodak/kodim13.png, 0.2553, 380.3271, 393216
6.00, kodak/kodim06.png, 0.1419, 212.3083, 393216
6.00, kodak/kodim16.png, 0.0815, 171.7535, 393216
6.00, kodak/kodim07.png, 0.1122, 146.4588, 393216
7.00, kodak/kodim03.png, 0.0819, 113.2438, 393216
7.00, kodak/kodim08.png, 0.2616, 248.8393, 393216
7.00, kodak/kodim21.png, 0.1475, 181.0274, 393216
7.00, kodak/kodim18.png, 0.1694, 269.5758, 393216
7.00, kodak/kodim15.png, 0.0972, 129.2453, 393216
7.00, kodak/kodim09.png, 0.0957, 118.4073, 393216
7.00, kodak/kodim17.png, 0.1046, 164.3325, 393216
7.00, kodak/kodim20.png, 0.0984, 109.3686, 393216
7.00, kodak/kodim12.png, 0.0848, 110.1451, 393216
