hash,level,bpp,mse
088128144, 0, 0.1571, 125.2004
088128144, 1, 0.2319, 85.3518
088128144, 2, 0.3447, 63.3542
088128144, 3, 0.5037, 35.0722
088128144, 4, 0.7064, 21.4011
088128144, 5, 0.9626, 13.8012
088128144, 6, 1.2749, 9.1660
088128144, 7, 1.6281, 6.7378
088128256, 0, 0.1571, 128.6767
088128256, 1, 0.2319, 86.5378
088128256, 2, 0.3447, 63.4300
088128256, 3, 0.5037, 34.8935
088128256, 4, 0.7064, 21.1899
088128256, 5, 0.9626, 13.6116
088128256, 6, 1.2749, 8.9993
088128256, 7, 1.6281, 6.5880
088168032, 0, 0.1571, 128.8520
088168032, 1, 0.2319, 90.0212
088168032, 2, 0.3447, 68.8193
088168032, 3, 0.5037, 39.4262
088168032, 4, 0.7064, 24.5027
088168032, 5, 0.9626, 16.2978
088168032, 6, 1.2749, 10.9271
088168032, 7, 1.6281, 8.2277
088168064, 0, 0.1571, 115.0083
088168064, 1, 0.2319, 79.8955
088168064, 2, 0.3447, 62.0902
088168064, 3, 0.5037, 34.7824
088168064, 4, 0.7064, 21.7436
088168064, 5, 0.9626, 14.1316
088168064, 6, 1.2749, 9.5177
088168064, 7, 1.6281, 7.0340
088168096, 0, 0.1571, 118.0669
088168096, 1, 0.2319, 81.3299
088168096, 2, 0.3447, 61.6453
088168096, 3, 0.5037, 34.5567
088168096, 4, 0.7064, 21.3882
088168096, 5, 0.9626, 13.8557
088168096, 6, 1.2749, 9.2345
088168096, 7, 1.6281, 6.7969
088168144, 0, 0.1571, 127.0475
088168144, 1, 0.2319, 85.9602
088168144, 2, 0.3447, 62.9447
088168144, 3, 0.5037, 34.7631
088168144, 4, 0.7064, 21.2091
088168144, 5, 0.9626, 13.6707
088168144, 6, 1.2749, 9.0565
088168144, 7, 1.6281, 6.6549
088168256, 0, 0.1571, 131.5399
088168256, 1, 0.2319, 87.6421
088168256, 2, 0.3447, 63.2729
088168256, 3, 0.5037, 34.6953
088168256, 4, 0.7064, 21.0491
088168256, 5, 0.9626, 13.5095
088168256, 6, 1.2749, 8.9071
088168256, 7, 1.6281, 6.5199
088256032, 0, 0.1571, 127.0582
088256032, 1, 0.2319, 88.7155
088256032, 2, 0.3447, 67.8697
088256032, 3, 0.5037, 38.7440
088256032, 4, 0.7064, 24.0502
088256032, 5, 0.9626, 15.8873
088256032, 6, 1.2749, 10.6231
088256032, 7, 1.6281, 7.9592
088256064, 0, 0.1571, 114.1290
088256064, 1, 0.2319, 79.2481
088256064, 2, 0.3447, 61.6063
088256064, 3, 0.5037, 34.4797
088256064, 4, 0.7064, 21.5569
088256064, 5, 0.9626, 13.9959
088256064, 6, 1.2749, 9.4157
088256064, 7, 1.6281, 6.9499
088256096, 0, 0.1571, 116.9633
088256096, 1, 0.2319, 80.6254
088256096, 2, 0.3447, 61.1422
088256096, 3, 0.5037, 34.2426
088256096, 4, 0.7064, 21.2100
088256096, 5, 0.9626, 13.7294
088256096, 6, 1.2749, 9.1498
088256096, 7, 1.6281, 6.7285
088256144, 0, 0.1571, 125.9254
088256144, 1, 0.2319, 85.3109
088256144, 2, 0.3447, 62.4982
088256144, 3, 0.5037, 34.4608
088256144, 4, 0.7064, 21.0390
088256144, 5, 0.9626, 13.5516
088256144, 6, 1.2749, 8.9772
088256144, 7, 1.6281, 6.5898
088256256, 0, 0.1571, 130.2431
088256256, 1, 0.2319, 86.9448
088256256, 2, 0.3447, 62.8236
088256256, 3, 0.5037, 34.3970
088256256, 4, 0.7064, 20.8940
088256256, 5, 0.9626, 13.4049
088256256, 6, 1.2749, 8.8436
088256256, 7, 1.6281, 6.4694
128032032, 0, 0.1571, 127.7276
128032032, 1, 0.2319, 95.7154
128032032, 2, 0.3447, 78.7741
128032032, 3, 0.5037, 50.8560
128032032, 4, 0.7064, 35.6767
128032032, 5, 0.9626, 26.9569
128032032, 6, 1.2749, 19.9303
128032032, 7, 1.6281, 16.0602
128032064, 0, 0.1571, 119.9902
128032064, 1, 0.2319, 84.7278
128032064, 2, 0.3447, 66.0757
128032064, 3, 0.5037, 37.2521
128032064, 4, 0.7064, 23.4740
128032064, 5, 0.9626, 15.5075
128032064, 6, 1.2749, 10.6954
128032064, 7, 1.6281, 8.0807
128032096, 0, 0.1571, 121.4354
128032096, 1, 0.2319, 84.7288
128032096, 2, 0.3447, 65.3642
128032096, 3, 0.5037, 36.7882
128032096, 4, 0.7064, 22.8899
128032096, 5, 0.9626, 14.9439
128032096, 6, 1.2749, 10.1466
128032096, 7, 1.6281, 7.5939
128032144, 0, 0.1571, 124.5481
128032144, 1, 0.2319, 86.1890
128032144, 2, 0.3447, 65.8254
128032144, 3, 0.5037, 36.9728
128032144, 4, 0.7064, 22.7819
128032144, 5, 0.9626, 14.7429
128032144, 6, 1.2749, 9.9034
128032144, 7, 1.6281, 7.3575
128032256, 0, 0.1571, 126.8338
128032256, 1, 0.2319, 86.9900
