level,fn,dbpp,bpp,mse,np
2.00, kodak/kodim04.png, 0.1464, 0.2078, 55.1570, 393216
3.00, kodak/kodim04.png, 0.2149, 0.3105, 32.4233, 393216
4.00, kodak/kodim04.png, 0.3164, 0.4591, 19.9184, 393216
5.00, kodak/kodim04.png, 0.4694, 0.6649, 12.5269, 393216
6.00, kodak/kodim04.png, 0.6766, 0.9414, 8.1269, 393216
7.00, kodak/kodim04.png, 0.9522, 1.2933, 5.4937, 393216
0.00, kodak/kodim14.png, 0.1689, 0.1666, 303.5787, 393216
1.00, kodak/kodim14.png, 0.1706, 0.2534, 154.3648, 393216
2.00, kodak/kodim14.png, 0.2583, 0.3888, 82.5448, 393216
3.00, kodak/kodim14.png, 0.3950, 0.5844, 47.5078, 393216
4.00, kodak/kodim14.png, 0.5866, 0.8506, 28.5325, 393216
5.00, kodak/kodim14.png, 0.8520, 1.1924, 16.7249, 393216
6.00, kodak/kodim14.png, 1.1885, 1.6025, 10.2164, 393216
7.00, kodak/kodim14.png, 1.5797, 2.0562, 6.8588, 393216
0.00, kodak/kodim13.png, 0.2926, 0.2905, 376.3177, 393216
1.00, kodak/kodim13.png, 0.2972, 0.4654, 212.7916, 393216
2.00, kodak/kodim13.png, 0.4803, 0.7373, 119.8708, 393216
3.00, kodak/kodim13.png, 0.7484, 1.0952, 68.2951, 393216
4.00, kodak/kodim13.png, 1.0895, 1.5237, 39.3948, 393216
5.00, kodak/kodim13.png, 1.4903, 1.9995, 22.6141, 393216
6.00, kodak/kodim13.png, 1.9300, 2.4824, 14.0842, 393216
7.00, kodak/kodim13.png, 2.3821, 2.9552, 9.9867, 393216
0.00, kodak/kodim06.png, 0.1558, 0.1540, 249.9781, 393216
1.00, kodak/kodim06.png, 0.1617, 0.2381, 128.5808, 393216
2.00, kodak/kodim06.png, 0.2494, 0.3696, 69.8954, 393216
3.00, kodak/kodim06.png, 0.3778, 0.5517, 39.8118, 393216
4.00, kodak/kodim06.png, 0.5559, 0.7901, 23.8499, 393216
5.00, kodak/kodim06.png, 0.7882, 1.0857, 13.6704, 393216
6.00, kodak/kodim06.png, 1.0716, 1.4329, 8.3976, 393216
7.00, kodak/kodim06.png, 1.4037, 1.8179, 5.6331, 393216
0.00, kodak/kodim16.png, 0.0905, 0.0887, 258.1302, 393216
1.00, kodak/kodim16.png, 0.0983, 0.1395, 114.9997, 393216
2.00, kodak/kodim16.png, 0.1497, 0.2202, 57.7639, 393216
3.00, kodak/kodim16.png, 0.2327, 0.3444, 31.9213, 393216
4.00, kodak/kodim16.png, 0.3559, 0.5149, 18.7103, 393216
5.00, kodak/kodim16.png, 0.5265, 0.7416, 10.8010, 393216
6.00, kodak/kodim16.png, 0.7512, 1.0196, 6.5390, 393216
7.00, kodak/kodim16.png, 1.0184, 1.3523, 4.2626, 393216
0.00, kodak/kodim07.png, 0.1241, 0.1225, 184.9802, 393216
1.00, kodak/kodim07.png, 0.1202, 0.1702, 81.7670, 393216
2.00, kodak/kodim07.png, 0.1657, 0.2367, 40.2371, 393216
3.00, kodak/kodim07.png, 0.2317, 0.3273, 22.4749, 393216
4.00, kodak/kodim07.png, 0.3182, 0.4438, 13.7949, 393216
5.00, kodak/kodim07.png, 0.4343, 0.5952, 8.4238, 393216
6.00, kodak/kodim07.png, 0.5822, 0.7816, 5.7247, 393216
7.00, kodak/kodim07.png, 0.7722, 1.0125, 4.3079, 393216
